sheet,address,formula,functions,referenced_sheets
Staffing January,I19,='Daily Census IP 2012'!H4,,Daily Census IP 2012
Staffing January,J19,='Daily Census IP 2012'!I4,,Daily Census IP 2012
Staffing January,K19,='Daily Census IP 2012'!J4,,Daily Census IP 2012
Staffing January,L19,='Daily Census IP 2012'!K4,,Daily Census IP 2012
Staffing January,M19,='Daily Census IP 2012'!L4,,Daily Census IP 2012
Staffing January,N19,='Daily Census IP 2012'!M4,,Daily Census IP 2012
Staffing January,O19,='Daily Census IP 2012'!N4,,Daily Census IP 2012
Staffing January,P19,='Daily Census IP 2012'!O4,,Daily Census IP 2012
Staffing January,Q19,='Daily Census IP 2012'!P4,,Daily Census IP 2012
Staffing January,R19,='Daily Census IP 2012'!Q4,,Daily Census IP 2012
Staffing January,S19,='Daily Census IP 2012'!R4,,Daily Census IP 2012
Staffing January,T19,='Daily Census IP 2012'!S4,,Daily Census IP 2012
Staffing January,U19,='Daily Census IP 2012'!T4,,Daily Census IP 2012
Staffing January,V19,='Daily Census IP 2012'!U4,,Daily Census IP 2012
Staffing January,W19,='Daily Census IP 2012'!V4,,Daily Census IP 2012
Staffing January,X19,='Daily Census IP 2012'!W4,,Daily Census IP 2012
Staffing January,Y19,='Daily Census IP 2012'!X4,,Daily Census IP 2012
Staffing January,Z19,='Daily Census IP 2012'!Y4,,Daily Census IP 2012
Staffing January,AA19,='Daily Census IP 2012'!Z4,,Daily Census IP 2012
Staffing January,AB19,='Daily Census IP 2012'!AA4,,Daily Census IP 2012
Staffing January,AC19,='Daily Census IP 2012'!AB4,,Daily Census IP 2012
Staffing January,AD19,='Daily Census IP 2012'!AC4,,Daily Census IP 2012
Staffing January,AE19,='Daily Census IP 2012'!AD4,,Daily Census IP 2012
Staffing January,AF19,='Daily Census IP 2012'!AE4,,Daily Census IP 2012
Staffing January,AG19,='Daily Census IP 2012'!AF4,,Daily Census IP 2012
Staffing January,AH21,=C71,,
Staffing January,B32,=SUM(C32:AG32),SUM,
Staffing January,AH32,=SUM(C32:AG32),SUM,
Staffing January,B40,=SUM(C40:AG40),SUM,
