consumer_sheet,consumer_cell,referenced_sheet,referenced_range,resolution
2012 YTD Summary,F52,Admissions,D108,internal
2012 YTD Summary,G52,Admissions,K108,internal
2012 YTD Summary,H52,Admissions,D144,internal
2012 YTD Summary,I52,Admissions,K144,internal
2012 YTD Summary,B53,Admissions,E37,internal
2012 YTD Summary,C53,Admissions,L37,internal
2012 YTD Summary,D53,Admissions,E72,internal
2012 YTD Summary,E53,Admissions,L72,internal
2012 YTD Summary,F53,Admissions,E108,internal
2012 YTD Summary,G53,Admissions,L108,internal
2012 YTD Summary,H53,Admissions,E144,internal
2012 YTD Summary,I53,Admissions,L144,internal
2012 YTD Summary,B54,Admissions,F37,internal
2012 YTD Summary,C54,Admissions,M37,internal
2012 YTD Summary,D54,Admissions,F72,internal
2012 YTD Summary,E54,Admissions,M72,internal
2012 YTD Summary,F54,Admissions,F108,internal
2012 YTD Summary,G54,Admissions,M108,internal
2012 YTD Summary,H54,Admissions,F144,internal
2012 YTD Summary,I54,Admissions,M144,internal
Aug Revenue,AC3,Staffing July,O18,internal
Aug Revenue,AC4,Staffing August,K1,internal
Aug Revenue,J56,Daily Census IP 2012,AH26,internal
Aug Revenue,A57,Daily Census IP 2012,AH27,internal
Aug Revenue,C57,Daily Census IP 2012,A46,internal
Budget vs Actual,G3,Daily Census IP 2012,A2,internal
Budget vs Actual,E4,2012 YTD Summary,B12,internal
Budget vs Actual,E5,2012 YTD Summary,C12,internal
Budget vs Actual,E6,2012 YTD Summary,D12,internal
Budget vs Actual,E7,2012 YTD Summary,E12,internal
Budget vs Actual,E8,2012 YTD Summary,F12,internal
Budget vs Actual,E9,2012 YTD Summary,G12,internal
Budget vs Actual,E10,2012 YTD Summary,H12,internal
Budget vs Actual,E11,2012 YTD Summary,I12,internal
Budget vs Actual,E12,2012 YTD Summary,J12,internal
Budget vs Actual,E13,2012 YTD Summary,K12,internal
Budget vs Actual,E14,2012 YTD Summary,L12,internal
Budget vs Actual,E15,2012 YTD Summary,M12,internal
Budget vs Actual,E18,2012 YTD Summary,B22,internal
Budget vs Actual,E19,2012 YTD Summary,C22,internal
Budget vs Actual,E20,2012 YTD Summary,D22,internal
Budget vs Actual,E21,2012 YTD Summary,E22,internal
Budget vs Actual,E22,2012 YTD Summary,F22,internal
Budget vs Actual,E23,2012 YTD Summary,G22,internal
Budget vs Actual,E24,2012 YTD Summary,H22,internal
Budget vs Actual,E25,2012 YTD Summary,I22,internal
Budget vs Actual,E26,2012 YTD Summary,J22,internal
Budget vs Actual,E27,2012 YTD Summary,K22,internal
Budget vs Actual,E28,2012 YTD Summary,L22,internal
Budget vs Actual,E29,2012 YTD Summary,M22,internal
Admissions,A3,2012 YTD Summary,B4,internal
Admissions,H3,2012 YTD Summary,C4,internal
Admissions,A41,2012 YTD Summary,D4,internal
Admissions,H41,2012 YTD Summary,E4,internal
Admissions,A76,2012 YTD Summary,F4,internal
Admissions,H76,2012 YTD Summary,G4,internal
Admissions,A112,2012 YTD Summary,H4,internal
Admissions,H112,2012 YTD Summary,I4,internal
Admissions,A148,2012 YTD Summary,J4,internal
Admissions,H148,2012 YTD Summary,K4,internal
Admissions,A184,2012 YTD Summary,L4,internal
Admissions,H184,2012 YTD Summary,M4,internal
Staffing August,U2,Daily Census IP 2012,G43,internal
Staffing August,AF8,Daily Census IP 2012,A46,internal
Staffing August,AF12,Daily Census IP 2012,A49,internal
Staffing August,AB14,2012 YTD Summary,O13,internal
Staffing August,AE14,2012 YTD Summary,O33,internal
Staffing August,G18,Daily Census IP 2012,AH26,internal
Staffing August,M18,Daily Census IP 2012,AI25,internal
Staffing August,O18,Daily Census IP 2012,A2,internal
Staffing August,C19,Daily Census IP 2012,B25,internal
Staffing August,D19,Daily Census IP 2012,C25,internal
Staffing August,E19,Daily Census IP 2012,D25,internal
Staffing August,F19,Daily Census IP 2012,E25,internal
Staffing August,G19,Daily Census IP 2012,F25,internal
Staffing August,H19,Daily Census IP 2012,G25,internal
Staffing August,I19,Daily Census IP 2012,H25,internal
Staffing August,J19,Daily Census IP 2012,I25,internal
Staffing August,K19,Daily Census IP 2012,J25,internal
Staffing August,L19,Daily Census IP 2012,K25,internal
Staffing August,M19,Daily Census IP 2012,L25,internal
Staffing August,N19,Daily Census IP 2012,M25,internal
Staffing August,O19,Daily Census IP 2012,N25,internal
Staffing August,P19,Daily Census IP 2012,O25,internal
Staffing August,Q19,Daily Census IP 2012,P25,internal
Staffing August,R19,Daily Census IP 2012,Q25,internal
Staffing August,S19,Daily Census IP 2012,R25,internal
Staffing August,T19,Daily Census IP 2012,S25,internal
Staffing August,U19,Daily Census IP 2012,T25,internal
Staffing August,V19,Daily Census IP 2012,U25,internal
Staffing August,W19,Daily Census IP 2012,V25,internal
Staffing August,X19,Daily Census IP 2012,W25,internal
Staffing August,Y19,Daily Census IP 2012,X25,internal
Staffing August,Z19,Daily Census IP 2012,Y25,internal
Staffing August,AA19,Daily Census IP 2012,Z25,internal
Staffing August,AB19,Daily Census IP 2012,AA25,internal
Staffing August,AC19,Daily Census IP 2012,AB25,internal
Staffing August,AD19,Daily Census IP 2012,AC25,internal
Staffing August,AE19,Daily Census IP 2012,AD25,internal
Staffing August,AF19,Daily Census IP 2012,AE25,internal
Staffing August,AG19,Daily Census IP 2012,AF25,internal
Daily Census IP 2012,AH13,Apr Revenue ,J57,internal
Daily Census IP 2012,AH16,May Revenue  ,J58,internal
Daily Census IP 2012,AH19,June Revenue,J57,internal
Daily Census IP 2012,AH22,July Revenue  ,J57,internal
Daily Census IP 2012,AH25,Aug Revenue,J57,internal
Daily Census IP 2012,AH28,Sep Revenue ,J60,internal
Daily Census IP 2012,AH31,Oct Revenue  ,J60,internal
Daily Census IP 2012,AH34,Nov Revenue   ,J60,internal
Daily Census IP 2012,AH37,Dec Revenue ,J60,internal
Daily Census IP 2012,AH41,2012 YTD Summary,N7,internal
Daily Census IP 2012,AI41,2012 YTD Summary,N6,internal
Daily Census IP 2012,AH43,2012 YTD Summary,O12,internal
Daily Census IOP 2012,A1,Daily Census IP 2012,A2,internal
August IOP Attend,A1,Jan IOP 2012 Attend,A1:AJ1,internal
August IOP Attend,B84,Staffing August,K1,internal
August IOP Attend,C87,Daily Census IP 2012,A2,internal
August IOP Attend,C90,Daily Census IP 2012,A53,internal
Ancil Invoices,I2,Daily Census IP 2012,A2,internal
Ancil Invoices,G6,2012 YTD Summary,B9,internal
Ancil Invoices,L6,2012 YTD Summary,C9,internal
Ancil Invoices,G7,2012 YTD Summary,B9,internal
Ancil Invoices,L7,2012 YTD Summary,C9,internal
Ancil Invoices,G8,2012 YTD Summary,B9,internal
Ancil Invoices,L8,2012 YTD Summary,C9,internal
Ancil Invoices,G9,2012 YTD Summary,B27,internal
Ancil Invoices,L9,2012 YTD Summary,C27,internal
Ancil Invoices,G20,2012 YTD Summary,D9,internal
Ancil Invoices,L20,2012 YTD Summary,E9,internal
Ancil Invoices,G21,2012 YTD Summary,D9,internal
Ancil Invoices,L21,2012 YTD Summary,E9,internal
Ancil Invoices,G22,2012 YTD Summary,D9,internal
Ancil Invoices,L22,2012 YTD Summary,E9,internal
Ancil Invoices,G23,2012 YTD Summary,D27,internal
Ancil Invoices,L23,2012 YTD Summary,E27,internal
Ancil Invoices,G34,2012 YTD Summary,F9,internal
Ancil Invoices,L34,2012 YTD Summary,G9,internal
Ancil Invoices,G35,2012 YTD Summary,F9,internal
Ancil Invoices,L35,2012 YTD Summary,G9,internal
Ancil Invoices,G36,2012 YTD Summary,F9,internal
Ancil Invoices,L36,2012 YTD Summary,G9,internal
Ancil Invoices,G37,2012 YTD Summary,F27,internal
Ancil Invoices,L37,2012 YTD Summary,G27,internal
Ancil Invoices,I53,Daily Census IP 2012,A2,internal
Ancil Invoices,G57,2012 YTD Summary,H9,internal
Ancil Invoices,L57,2012 YTD Summary,I9,internal
Ancil Invoices,G58,2012 YTD Summary,H9,internal
Ancil Invoices,L58,2012 YTD Summary,I9,internal
Ancil Invoices,G59,2012 YTD Summary,H9,internal
Ancil Invoices,L59,2012 YTD Summary,I9,internal
Ancil Invoices,G60,2012 YTD Summary,H26,internal
Ancil Invoices,L60,2012 YTD Summary,I26,internal
Ancil Invoices,G71,2012 YTD Summary,J9,internal
